,7/1/2019,7/2/2019,7/3/2019,7/4/2019,7/5/2019,7/6/2019,7/7/2019,7/8/2019,7/9/2019,7/10/2019,7/11/2019,7/12/2019,7/13/2019,7/14/2019,7/15/2019,7/16/2019,7/17/2019,7/18/2019,7/19/2019,7/20/2019,7/21/2019,7/22/2019,7/23/2019,7/24/2019,7/25/2019,7/26/2019,7/27/2019,7/28/2019,7/29/2019,7/31/2019
10:00,33271.523833,33594.802667,32630.408833,33217.319000,32888.307833,28176.432833,26178.442167,33201.287667,33046.361167,33847.837167,33596.300000,33694.471833,28772.039333,26740.674333,34017.019833,34848.842833,35252.905667,34723.675000,34181.195167,28889.756500,26414.276167,32728.093500,33330.892000,33452.761667,34117.313500,34297.844000,29385.269381,26388.683500,33583.631000,34762.276333
11:00,34193.465000,34534.991667,33382.941333,33932.800667,33419.383500,28855.461500,27230.238333,34196.866500,34038.608667,34879.804000,34328.483333,34608.018167,29933.746167,27800.900667,35162.679333,35875.326833,36324.468500,35521.946167,35036.779833,29951.799167,27105.863833,33638.970500,34254.399833,34511.208167,35154.628500,35343.697000,30368.666358,27340.398667,34572.212000,35746.815333
12:00,33244.365667,33265.834333,31962.081333,32590.826833,31977.953833,28465.950167,27813.796167,32947.732000,32886.615667,33563.145667,32747.337167,33764.990667,30017.991167,28341.789167,34272.405500,34892.547500,35424.918333,34416.035667,33825.212000,29705.792833,27365.811000,32694.618667,33116.799333,33542.883000,34029.645500,34427.889333,30540.841778,27603.901500,33569.859333,34681.831667
13:00,34701.596333,34546.825167,33443.646000,33746.514500,33263.155667,29051.775000,28035.110000,34592.746500,34246.281667,34745.554333,33796.831667,35061.163500,30886.951333,28977.709833,35714.010667,36424.141667,36886.375000,35500.726833,34983.918167,30285.896333,27814.478500,33985.659500,34492.732333,34930.778833,35283.664500,35942.718667,30842.855611,27824.814500,35051.614667,36168.007667
14:00,34899.189833,34599.343500,33620.643500,33945.264500,33620.310000,29077.187333,28248.392833,34839.850833,34543.630333,35015.918667,34096.359000,35108.779833,30910.103667,28988.395000,35908.668667,36514.887500,37043.162833,35455.944000,35111.882333,30069.088000,27722.040833,34288.968833,34667.464667,35261.711500,35686.066833,36108.858833,30437.645333,27972.682500,35390.582000,36487.009167
15:00,34793.053333,34186.188167,33309.558833,33812.534500,33484.088500,28994.775167,27929.990167,34708.752500,34438.869333,34782.276167,33850.616833,34647.997000,30701.081333,28754.899833,35486.849833,36168.741000,36528.195500,35007.002667,34699.237167,29541.142667,27292.711000,33606.296167,34294.077333,34791.772333,35309.721500,35543.533667,29859.424500,27841.340167,35240.546833,36307.440333
16:00,34435.310667,33839.469500,32874.576000,33430.539000,33280.110833,28928.194833,27942.731333,34327.114333,34199.485000,34465.827833,33741.470667,34119.527167,30348.373500,28779.457333,35005.269333,35691.253000,35998.196333,34692.504000,34260.529167,29341.480333,27092.895500,33101.656000,33654.623833,34293.604333,34848.572500,34749.326333,29536.672833,27962.070167,34834.859667,35745.938167
17:00,33308.477667,32814.194167,31943.040167,32417.903167,32126.217667,28800.373500,27939.455500,33127.261000,33274.424667,33557.354833,32880.104833,32969.069833,29808.653000,28760.659167,33914.635333,34513.359667,34833.307500,33679.108500,33290.142833,29038.786000,27456.146500,32161.062500,32476.107667,33243.326833,33750.900000,33579.698333,29323.527667,28042.298000,33736.723176,34295.017167
18:00,33119.261833,32678.865500,31989.851000,32380.062333,31834.813167,29133.576833,28425.355500,33034.982167,33348.226500,33413.908500,32872.008667,32688.717833,29905.231500,29215.271667,33853.564000,34243.971833,34706.946667,33670.936500,33102.814167,29265.826000,28070.149000,32042.316667,32342.169667,33145.487833,33683.093167,33320.578000,29460.743833,28310.364333,33620.464225,33975.214833
19:00,33579.109500,32670.973833,32060.738333,32648.882667,32050.239000,29783.738000,29245.530000,33459.491833,33680.536667,33604.175500,33164.676333,32986.022000,30588.689500,30069.106500,34419.731500,34597.798167,35160.721667,33986.387500,33148.587500,29889.621000,28776.072667,32145.343000,32770.606500,33478.139667,34143.107167,33655.270667,29879.371667,28983.553667,34013.577441,34355.248000
20:00,33115.633333,32118.433333,31512.133333,32068.216667,31471.300000,29709.683333,29569.183333,32892.000000,33046.383333,32895.616667,32653.966667,32418.916667,30723.766667,30447.850000,33933.650000,34184.833333,34742.600000,33485.483333,32627.016667,29840.633333,29175.283333,31557.416667,32202.200000,32974.683333,33781.433333,33130.450000,29940.083333,29359.216667,33477.299740,33854.116667
21:00,32439.733333,31379.250000,30721.600000,31239.166667,30644.933333,29345.533333,29593.200000,32103.900000,32224.600000,32122.300000,31827.983333,31699.666667,30496.400000,30471.266667,33327.350000,33630.683333,34132.350000,32669.516667,31847.200000,29559.600000,29131.933333,30769.516667,31331.400000,32333.100000,33022.733333,32435.700000,29683.066667,29172.216667,32748.256792,33337.216667
22:00,31523.450000,30241.550000,29713.750000,30285.783333,29781.616667,28586.316667,28866.450000,31049.783333,31047.433333,30932.333333,30961.500000,30871.066667,29777.883333,29922.083333,32381.016667,32611.716667,33188.533333,31667.216667,30873.133333,28927.083333,28490.750000,29828.566667,30435.016667,31339.000000,32021.983333,31532.600000,28978.833333,28599.316667,31766.109173,32584.900000
23:00,30505.016667,29088.033333,28627.900000,29238.400000,29082.533333,27753.966667,27696.350000,30022.116667,30065.833333,29932.950000,29621.733333,30054.283333,28882.516667,28754.833333,31447.550000,31534.666667,32215.383333,30532.083333,29857.800000,28259.900000,27332.816667,28748.666667,29422.200000,30310.816667,30990.383333,30596.566667,28102.566667,27523.983333,30730.998444,31709.850000
