,7/1/2021,7/2/2021,7/3/2021,7/4/2021,7/5/2021,7/6/2021,7/7/2021,7/8/2021,7/9/2021,7/10/2021,7/11/2021,7/12/2021,7/13/2021,7/14/2021,7/15/2021,7/16/2021,7/17/2021,7/18/2021,7/19/2021,7/20/2021,7/21/2021,7/22/2021,7/23/2021,7/24/2021,7/25/2021,7/26/2021,7/27/2021,7/28/2021,7/29/2021,7/30/2021,7/31/2021
12:00,34519.223000,35376.156333,31898.738000,30019.264833,35214.898833,35558.766500,35899.634000,36678.257500,36101.316167,32925.497167,30284.854667,36197.091500,36322.932167,35869.879000,35738.500833,35586.445667,32204.259167,29892.851500,36363.093333,35975.292667,35535.840667,34555.766000,33865.106833,29481.560167,29329.628667,35741.439833,36883.891167,37175.119500,36546.415000,35706.940000,30338.797333
13:00,36133.497167,36779.202833,33217.710000,30575.172667,36713.303000,37010.509667,37223.048500,37704.138667,37684.735500,34093.859667,31267.321500,37618.697000,38000.162500,37293.715167,37203.865833,36939.070333,33360.751000,30533.491833,37929.103000,37399.897833,36887.770333,35785.344667,35066.857667,30214.641833,30045.479000,37381.651333,38369.448333,38189.130000,37662.314500,36573.816333,30662.053167
14:00,36688.536833,37234.721500,33416.419167,30450.035333,37100.512667,36998.690833,37430.012167,37396.088167,37913.845667,34178.560667,31205.714667,37976.566833,38298.747667,37744.550667,37557.224167,37285.975500,33504.310167,30736.957667,38228.183500,37611.803167,36971.145833,36098.241833,35396.239833,30233.327833,30187.247167,37873.106667,38452.502500,38308.809833,37357.575167,36233.330833,30507.649167
15:00,36611.358167,37003.239833,33045.958667,29995.917167,37061.944167,36493.528167,37059.075500,37547.580167,37683.578833,33747.356333,30789.881333,37712.484000,37976.330500,37562.132333,37347.799333,36847.752167,33056.125167,30501.798000,37750.245000,37224.399500,36899.826500,35992.050333,35283.840000,30397.666333,30172.798167,37702.744167,38326.162833,37765.519500,37066.582667,35502.372833,30207.178000
16:00,36373.392167,36598.706667,32730.368167,29955.714500,36863.518667,36298.084500,36883.689167,37163.822167,37278.904167,33181.422667,30554.727167,37430.190833,37004.920000,37205.673000,36821.418833,36419.524500,32811.128500,30342.552167,37256.429333,36993.252000,36402.235333,35817.220500,34921.227500,30393.054333,30281.147500,37210.836667,37964.968167,36917.763833,36822.547833,35432.114500,30158.169333
17:00,35082.734833,35190.732833,32010.459333,30227.455000,35323.658500,35290.544500,35654.965833,35875.391500,35893.987167,32446.933167,30584.423167,35911.864833,35524.795833,35608.190167,35299.052833,34904.822167,32136.869000,30485.473167,35830.278167,35714.401500,35105.320500,34387.512167,33565.050333,29995.680667,30512.834833,35819.451667,36511.476000,35362.333000,35477.963667,34413.525333,29878.602667
18:00,34846.618167,34827.616333,32285.269333,30770.755167,35080.449667,35220.728000,35506.283000,35736.382500,35563.251167,32717.378167,31258.463500,35782.675000,34904.824333,35320.612500,34818.385333,34458.620333,32113.880833,30879.996333,35441.522000,35519.833167,34722.617833,34060.716167,33217.425333,30191.679333,30975.209667,35471.972000,36224.412500,35277.195167,35404.734833,34199.704500,30135.290333
19:00,34962.092000,34933.803000,32746.657333,31342.685500,35036.854667,35203.220167,35439.929167,35878.437833,35790.062500,33271.574167,31859.210667,35907.984833,34456.176167,35363.936667,34684.488500,34454.085167,32529.344000,31392.795833,35272.389167,35247.329000,34603.713333,34088.245667,32975.043333,30705.122167,31654.103333,35449.484833,36328.810333,35503.140500,35497.173500,34241.517667,30388.442500
20:00,34129.333333,34046.083333,32472.116667,31177.300000,34441.666667,34408.450000,34659.766667,35187.516667,35203.333333,32992.433333,31813.366667,35042.650000,33615.766667,34649.050000,33893.200000,33665.633333,32116.233333,31224.433333,34538.883333,34407.116667,33770.800000,33199.283333,32123.683333,30345.916667,31430.050000,34630.250000,35662.516667,34964.783333,34711.483333,33533.583333,29903.133333
21:00,33244.166667,33267.483333,31946.600000,30863.166667,33664.016667,33450.133333,33737.150000,34196.450000,34195.116667,32508.400000,31495.283333,34128.966667,32640.433333,33684.016667,32897.216667,32730.866667,31362.466667,30833.183333,33515.683333,33140.400000,32594.483333,32137.400000,31121.650000,29800.916667,31036.733333,33504.550000,34562.783333,34126.066667,33759.433333,32541.283333,29510.350000
22:00,32208.983333,32289.483333,31309.350000,30228.983333,32711.833333,32536.283333,32868.283333,33293.516667,33450.566667,31972.683333,30794.350000,33214.866667,31774.500000,32776.900000,31984.916667,31838.350000,30730.833333,30261.616667,32515.400000,32199.716667,31680.916667,31183.466667,30321.383333,29190.316667,30309.183333,32563.183333,33700.666667,33045.266667,32625.233333,31511.766667,28650.066667
23:00,31100.483333,31310.516667,30294.916667,29197.783333,31608.966667,31501.483333,31785.733333,32155.383333,32439.933333,30816.800000,29734.383333,32026.466667,30736.216667,31665.183333,31084.250000,30843.500000,29738.583333,29236.666667,31494.816667,31071.800000,30695.283333,30340.466667,29439.183333,28272.583333,29159.016667,31409.983333,32579.816667,31918.500000,31424.050000,30416.266667,27526.033333
